Ingles, Español
Good morning,Buenos días
How are you?,¿Cómo estás?
I’m Ciri,Soy Ciri
What’s your name?,¿Cómo te llamas?
I’m fine, Estoy bien
Where are you from?,¿De dónde eres?
I’m Spanish,Soy español
What do you do?,¿A qué te dedicas?
How old are you?, ¿Cuántos años tienes?
I’m 34 years old,Tengo 34 años
Are you married?,Estás casado/
Good bye,Adiós
See you soon,Nos vemos
What time is it? It’s five o’clock,¿Qué hora es? Son las cinco en punto
Where is the school?,¿Dónde está el colegio?
The school is on the left,La escuela está a la derecha
Go straight along,Sigue recto
Do you speak spanish?,¿Hablas español?
Yes, I speak Spanish,Sí, hablo español
Could you help me?,¿Me puedes ayudar?
Could you repeat it please?,¿Podrías repetir por favor?
What does it mean?,¿Qué significa?
Do you like animals?,¿Te gustan los animales?
Yes I like it very much,Si me gusta mucho
How much is it?,¿Cuánto cuesta?
Would you like some coffee?,¿Te gustaría tomar un café?
Are you hungry?,¿Tienes hambre?
How tall are you? I’m 1 m 80 tall,¿Cuánto mides? Mido 1m 80
What did you study at university?,¿Qué estudiaste en la Universidad?
What’s up?,¿Qué pasa?
Ask,Preguntar
Be,Ser o estar
Call,Llamar
Come,Venir
Do,Hacer
Feel,Sentir
Find,Encontrar
Get,Tomar
Give,Dar
Go,Ir
Have,Tener
Know,Saber
Leave,Dejar
Look,Mirar
Make,Hacer
Say,Decir
See,Ver
Seem,Parecer
Take,Coger
Tell,Decir
Think,Pensar
Try,Intentar
Use,Usar
Want,Querer
Work,Trabajar
My brother is singing a new song,Mi hermano está cantando una nueva canción
The teacher went to the zoo yesterday,La maestra fue al zoológico ayer
I will go to Manhattan next week,Iré a Manhattan la próxima semana
You should go to the dentist,Deberías ir al dentista
She is going to visit her parents a couple of weeks,Ella va a ir a visitar a sus padres un par de semanas
I am reading a new book about Africa,Estoy leyendo un nuevo libro sobre África
My parents used to go to Hawaii every summer,Mis padres solían ir a Hawái todos los veranos
They've bought a new car,Ellos compraron un auto nuevo
Peter had seen her before,Peter la había visto antes
We went to a new restaurant last weekend,Fuimos a un nuevo restaurante el fin de semana pasado
I'm not enjoying the party,No estoy disfrutando de la fiesta
Sarah won't let him go,Sarah no lo dejará ir
My friend didn't like the movie,A mi amigo no le gustó la película
His mother hasn't been to Brazil before,Su madre no ha ido a Brasil antes
I hadn’t stayed at this hotel,Yo no me había quedado en este hotel
Mark doesn't like cooking,A Mark no le gusta cocinar
They aren't going to eat pizza tonight,Ellos no van a comer pizza esta noche
Patrick isn't a friend of mine,Patrick no es amigo mío
She can't play the piano,Ella no sabe tocar el piano
He may not be at home,Él quizás no está en casa